"","x"
"1","YLR197W"
"2","YOR039W"
"3","YDR473C"
"4","YOR332W"
"5","YER090W"
"6","YDR394W"
"7","YER021W"
"8","YPR029C"
"9","YIL106W"
"10","YKL166C"
"11","YGL026C"
"12","YOR061W"
"13","YGL115W"
"14","YGL049C"
"15","YDL140C"
"16","YLR291C"
"17","YGR158C"
"18","YDR328C"
"19","YOL094C"
"20","YDR460W"
"21","YBR154C"
"22","YOR116C"
"23","YIL062C"
"24","YPR010C"
"25","YER027C"
"26","YPL093W"
"27","YER006W"
"28","YFR052W"
"29","YOR261C"
"30","YHR052W"
"31","YDR280W"
"32","YOR260W"
"33","YMR193W"
"34","YGR162W"
"35","YPR187W"
"36","YDR101C"
"37","YOL041C"
"38","YHR197W"
"39","YBL045C"
"40","YOR207C"
"41","YPL259C"
"42","YLL008W"
"43","YPL043W"
"44","YGL220W"
"45","YOR117W"
"46","YOR310C"
"47","YBL046W"
"48","YNL002C"
"49","YBR126C"
"50","YKL014C"
"51","YCR077C"
"52","YLR208W"
"53","YHR107C"
"54","YPL012W"
"55","YGL237C"
"56","YOR341W"
"57","YPL203W"
"58","YMR049C"
"59","YLR409C"
"60","YMR146C"
"61","YMR061W"
"62","YIL112W"
"63","YJL203W"
"64","YLR222C"
"65","YBR251W"
"66","YDL160C"
"67","YLR370C"
"68","YLL036C"
"69","YBR135W"
"70","YIL021W"
"71","YOL149W"
"72","YOL077C"
"73","YBL056W"
"74","YKL057C"
"75","YGL122C"
"76","YDR448W"
"77","YJL124C"
"78","YJL098W"
"79","YPL126W"
"80","YER112W"
"81","YDL116W"
"82","YDL060W"
"83","YDR228C"
"84","YDL225W"
"85","YFR001W"
"86","YDR127W"
"87","YLR166C"
"88","YBR125C"
"89","YKR081C"
"90","YGL208W"
"91","YDR496C"
"92","YMR205C"
"93","YDR087C"
"94","YNL147W"
"95","YGR145W"
"96","YNL113W"
"97","YFR040W"
"98","YOR326W"
"99","YBR087W"
"100","YNL118C"
"101","YMR309C"
"102","YIR001C"
"103","YER081W"
"104","YER094C"
"105","YLR423C"
"106","YGL123W"
"107","YNL284C"
"108","YML025C"
"109","YOL040C"
"110","YLR015W"
"111","YGR034W"
"112","YHL019C"
"113","YMR188C"
"114","YDL191W"
"115","YFR030W"
"116","YDL136W"
"117","YGR220C"
"118","YNR037C"
"119","YNL056W"
"120","YDR388W"
"121","YOL127W"
"122","YGR086C"
"123","YLR340W"
"124","YFL022C"
"125","YNR012W"
"126","YBL038W"
"127","YNL099C"
"128","YDR041W"
"129","YHL015W"
"130","YML098W"
"131","YDR298C"
"132","YML026C"
"133","YGR264C"
"134","YFR049W"
"135","YDR354W"
"136","YER178W"
"137","YJL063C"
"138","YJR121W"
"139","YKL170W"
"140","YPL183W-A"
"141","YNL071W"
"142","YKL103C"
"143","YBR221C"
"144","YGL112C"
"145","YDR190C"
"146","YJL026W"
"147","YDR116C"
"148","YIL104C"
"149","YAL032C"
"150","YDL185W"
"151","YNR016C"
"152","YNL078W"
"153","YDR091C"
"154","YKL182W"
"155","YGR103W"
"156","YGL019W"
"157","YIL050W"
"158","YOR151C"
"159","YIL125W"
"160","YHR102W"
"161","YJR050W"
"162","YDL097C"
"163","YPR016C"
"164","YBL021C"
"165","YKL145W"
