"","x"
"1",1
"2",1
"3",2
"4",3
"5",3
"6",3
"7",3
"8",4
"9",8
"10",4
"11",3
"12",1
"13",6
"14",1
"15",5
"16",9
"17",11
"18",13
"19",4
"20",13
"21",5
"22",3
"23",14
"24",1
"25",13
"26",1
"27",1
"28",3
"29",3
"30",1
"31",3
"32",9
"33",11
"34",1
"35",5
"36",1
"37",1
"38",1
"39",2
"40",5
"41",4
"42",1
"43",1
"44",15
"45",3
"46",1
"47",7
"48",1
"49",4
"50",1
"51",12
"52",4
"53",13
"54",1
"55",15
"56",5
"57",13
"58",1
"59",1
"60",13
"61",3
"62",7
"63",15
"64",1
"65",10
"66",12
"67",14
"68",17
"69",8
"70",5
"71",12
"72",1
"73",4
"74",4
"75",3
"76",4
"77",12
"78",18
"79",1
"80",12
"81",3
"82",1
"83",8
"84",3
"85",1
"86",3
"87",4
"88",4
"89",1
"90",13
"91",1
"92",3
"93",1
"94",12
"95",1
"96",5
"97",18
"98",8
"99",4
"100",12
"101",1
"102",22
"103",8
"104",3
"105",1
"106",4
"107",3
"108",10
"109",4
"110",13
"111",4
"112",4
"113",10
"114",4
"115",9
"116",4
"117",10
"118",3
"119",8
"120",22
"121",4
"122",4
"123",10
"124",8
"125",3
"126",3
"127",8
"128",10
"129",4
"130",14
"131",2
"132",4
"133",3
"134",8
"135",3
"136",3
"137",10
"138",2
"139",10
"140",10
"141",3
"142",8
"143",3
"144",4
"145",3
"146",8
"147",1
"148",13
"149",4
"150",3
"151",18
"152",1
"153",1
"154",3
"155",1
"156",1
"157",4
"158",5
"159",8
"160",17
"161",7
"162",3
"163",1
"164",15
"165",3
"166",8
"167",3
"168",22
"169",4
"170",4
"171",3
"172",22
"173",3
"174",1
"175",3
"176",3
"177",11
"178",22
"179",1
"180",3
"181",13
"182",4
"183",3
"184",11
"185",1
"186",9
"187",18
"188",8
"189",22
"190",8
"191",4
"192",1
"193",1
"194",11
"195",8
"196",1
"197",3
"198",4
"199",3
"200",4
"201",3
"202",4
"203",11
"204",9
"205",1
"206",3
"207",4
"208",3
"209",3
"210",1
"211",4
"212",4
"213",9
"214",15
"215",4
"216",3
"217",3
"218",17
"219",13
"220",13
"221",1
"222",3
"223",4
"224",1
"225",3
"226",17
"227",1
"228",18
"229",14
"230",1
"231",13
"232",3
"233",17
"234",10
"235",4
"236",8
"237",4
"238",15
"239",13
"240",3
"241",9
"242",11
"243",22
"244",8
"245",4
"246",1
"247",3
"248",1
"249",3
"250",1
"251",18
"252",3
"253",9
"254",4
"255",1
"256",9
"257",3
"258",18
"259",1
"260",22
"261",8
"262",1
"263",11
"264",19
"265",13
"266",3
"267",8
"268",19
"269",22
"270",1
"271",3
"272",9
"273",3
"274",3
"275",5
"276",3
"277",12
"278",5
"279",4
"280",1
"281",15
"282",4
"283",4
"284",3
"285",3
"286",3
"287",1
"288",17
"289",3
"290",11
"291",14
"292",8
"293",22
"294",4
"295",4
"296",22
"297",13
"298",1
"299",18
"300",1
"301",11
"302",9
"303",3
"304",8
"305",3
"306",17
"307",15
"308",13
"309",3
"310",18
"311",22
"312",3
"313",11
"314",1
"315",8
"316",11
"317",13
"318",5
"319",1
"320",10
"321",1
"322",22
"323",1
"324",8
"325",4
"326",1
"327",4
"328",1
"329",13
"330",22
"331",3
"332",1
"333",17
"334",22
"335",4
"336",1
"337",5
"338",8
"339",4
"340",22
"341",4
"342",3
"343",17
"344",3
"345",1
"346",7
"347",3
"348",1
"349",13
"350",3
"351",10
"352",15
"353",8
"354",3
"355",3
"356",22
"357",20
"358",1
"359",1
"360",1
"361",17
"362",4
"363",1
"364",17
"365",13
"366",4
"367",9
"368",1
"369",3
"370",13
"371",8
"372",9
"373",8
"374",4
"375",11
"376",11
"377",3
"378",1
"379",3
"380",3
"381",4
"382",18
"383",3
"384",9
"385",1
"386",8
"387",18
"388",18
"389",5
"390",15
"391",3
"392",13
"393",13
"394",4
"395",18
"396",1
"397",1
"398",4
"399",3
"400",7
"401",3
"402",3
"403",2
"404",18
"405",1
"406",18
"407",4
"408",22
"409",1
"410",3
"411",11
"412",1
"413",13
"414",3
"415",3
"416",3
"417",8
"418",1
"419",1
"420",11
"421",13
"422",1
"423",18
"424",12
"425",13
"426",1
"427",22
"428",2
"429",1
"430",1
"431",5
"432",1
"433",1
"434",10
"435",3
"436",22
"437",3
"438",4
"439",4
"440",8
"441",4
"442",4
"443",4
"444",18
"445",1
"446",8
"447",4
"448",5
"449",8
"450",1
"451",1
"452",8
"453",19
"454",4
"455",10
"456",1
"457",13
"458",18
"459",14
"460",1
"461",4
"462",1
"463",4
"464",4
"465",1
"466",1
"467",9
"468",12
"469",1
"470",3
"471",15
"472",12
"473",18
"474",3
"475",11
"476",1
"477",8
"478",1
"479",3
"480",13
"481",4
